epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2612.81,0.74355,0.78036,0.3821,0.80837,0.78871,0.58975,0.65868,0.51559,0.78818,0.58921,0.65827,0.46592,0.66833,0.70914,0.35924,0.80372,0.000432048,0.000432048,0.000432048
55,2658.85,0.72594,0.7625,0.37247,0.80714,0.79456,0.57464,0.65716,0.51319,0.79404,0.57412,0.65653,0.46638,0.6717,0.70708,0.34422,0.80398,0.000423049,0.000423049,0.000423049
56,2705.33,0.73291,0.76837,0.3705,0.80735,0.86036,0.56889,0.6479,0.51011,0.85992,0.56845,0.64741,0.4633,0.66016,0.70166,0.34626,0.80311,0.000414049,0.000414049,0.000414049
57,2752.33,0.73731,0.77268,0.37187,0.80753,0.78658,0.62214,0.66782,0.52366,0.78613,0.62169,0.66767,0.47732,0.67488,0.71897,0.34898,0.80426,0.00040505,0.00040505,0.00040505
58,2798.78,0.72781,0.76192,0.36619,0.80715,0.87879,0.58164,0.65908,0.5163,0.87824,0.58108,0.65872,0.46938,0.66395,0.70109,0.34836,0.80271,0.000396051,0.000396051,0.000396051
59,2844.84,0.72783,0.76738,0.36676,0.80798,0.54227,0.62828,0.66325,0.51544,0.54172,0.62772,0.66301,0.45972,0.66997,0.71316,0.34235,0.80419,0.000387052,0.000387052,0.000387052
60,2891.08,0.72583,0.76243,0.3659,0.80713,0.86476,0.57297,0.66306,0.51486,0.86433,0.57255,0.66281,0.46739,0.66375,0.70899,0.34196,0.80326,0.000378053,0.000378053,0.000378053
61,2937.09,0.72485,0.75482,0.36694,0.80605,0.60647,0.64636,0.65754,0.50976,0.60591,0.64579,0.65731,0.46785,0.66884,0.71053,0.34726,0.80296,0.000369054,0.000369054,0.000369054
62,2983.89,0.72719,0.75977,0.36631,0.8065,0.78939,0.63049,0.66937,0.51521,0.78882,0.62992,0.66906,0.46691,0.66941,0.70194,0.34595,0.80389,0.000360055,0.000360055,0.000360055
63,3030.35,0.72525,0.76272,0.3634,0.80719,0.7111,0.64072,0.67057,0.52518,0.71047,0.64007,0.6703,0.47026,0.65968,0.69861,0.33982,0.8027,0.000351056,0.000351056,0.000351056
64,3077.31,0.71613,0.74748,0.35962,0.8065,0.89755,0.59736,0.67663,0.52953,0.897,0.59681,0.67606,0.48025,0.6635,0.70638,0.33557,0.803,0.000342057,0.000342057,0.000342057
65,3175.89,0.72674,0.76316,0.36423,0.80715,0.74518,0.6319,0.66895,0.52229,0.74452,0.63122,0.66848,0.47348,0.65628,0.70002,0.34025,0.80225,0.000333058,0.000333058,0.000333058
66,3222.9,0.71656,0.75086,0.3602,0.80612,0.85298,0.61125,0.67329,0.52696,0.85247,0.61073,0.67268,0.47199,0.65676,0.70176,0.3385,0.80223,0.000324058,0.000324058,0.000324058
67,3269.45,0.72231,0.75325,0.36251,0.80656,0.54924,0.68256,0.67403,0.52689,0.54873,0.68203,0.67398,0.47607,0.66193,0.70347,0.33925,0.80309,0.000315059,0.000315059,0.000315059
68,3316.09,0.71935,0.74981,0.36306,0.80497,0.83019,0.64603,0.68976,0.54076,0.82954,0.64536,0.68929,0.48715,0.65948,0.70285,0.33952,0.80243,0.00030606,0.00030606,0.00030606
69,3363.22,0.72038,0.75244,0.3628,0.80565,0.83031,0.61232,0.66337,0.52068,0.82981,0.61182,0.66303,0.47314,0.66034,0.7012,0.33849,0.80281,0.000297061,0.000297061,0.000297061
70,3410.65,0.71702,0.74604,0.36076,0.80464,0.84413,0.62534,0.69784,0.54591,0.84366,0.62486,0.69753,0.49241,0.6598,0.69924,0.33976,0.80308,0.000288062,0.000288062,0.000288062
71,3457.66,0.71865,0.7525,0.35964,0.80634,0.7818,0.65838,0.69545,0.54403,0.78128,0.65785,0.69495,0.48966,0.65561,0.69917,0.33567,0.8018,0.000279063,0.000279063,0.000279063
72,3504.56,0.71164,0.7422,0.35695,0.80557,0.7524,0.69124,0.68821,0.5407,0.75177,0.69059,0.68765,0.48703,0.65719,0.6962,0.33581,0.80192,0.000270064,0.000270064,0.000270064
73,3551.61,0.71437,0.7451,0.35605,0.80539,0.81441,0.63595,0.68292,0.53655,0.8139,0.63715,0.68353,0.48393,0.65828,0.69761,0.3345,0.8028,0.000261065,0.000261065,0.000261065
74,3598.81,0.71603,0.74439,0.35819,0.80532,0.75966,0.63746,0.67365,0.52689,0.76059,0.63891,0.67428,0.46805,0.65918,0.69974,0.33758,0.80271,0.000252066,0.000252066,0.000252066
75,3645.94,0.70518,0.73437,0.35196,0.80429,0.80017,0.64828,0.70188,0.55274,0.79968,0.64779,0.70161,0.49974,0.65617,0.69742,0.33234,0.80197,0.000243067,0.000243067,0.000243067
76,3692.96,0.71121,0.74316,0.35116,0.80519,0.84358,0.6453,0.69817,0.54718,0.84213,0.64719,0.69849,0.4999,0.65869,0.70146,0.33789,0.80217,0.000234068,0.000234068,0.000234068
77,3739.99,0.71584,0.74644,0.35602,0.80544,0.85652,0.63024,0.69806,0.5467,0.85612,0.62984,0.69851,0.4967,0.66007,0.69608,0.33436,0.80279,0.000225068,0.000225068,0.000225068
78,3786.69,0.7055,0.7311,0.35083,0.80439,0.81669,0.63255,0.68714,0.53986,0.81627,0.63212,0.68681,0.48748,0.65862,0.6993,0.33123,0.80233,0.000216069,0.000216069,0.000216069
79,3833.64,0.71196,0.74539,0.35153,0.80493,0.81652,0.63337,0.69385,0.54378,0.81606,0.63291,0.69341,0.49732,0.65341,0.69437,0.33099,0.80197,0.00020707,0.00020707,0.00020707
