epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2972.5,0.80481,1.03141,0.42673,0.82244,0.86649,0.55013,0.61148,0.462,0.86613,0.54977,0.61173,0.42695,0.72262,0.75704,0.37308,0.80939,0.000567034,0.000567034,0.000567034
40,3040.8,0.80307,1.034,0.42462,0.82122,0.87375,0.55368,0.62432,0.47192,0.87331,0.55323,0.62417,0.43076,0.72216,0.75676,0.37329,0.80849,0.000558035,0.000558035,0.000558035
41,3131.21,0.80752,1.0531,0.42759,0.82169,0.85042,0.5644,0.62294,0.4703,0.85016,0.56387,0.62275,0.42448,0.74119,0.76415,0.37231,0.80982,0.000549036,0.000549036,0.000549036
42,3203.7,0.79096,1.02788,0.41989,0.81938,0.89394,0.54184,0.64339,0.48145,0.89359,0.54149,0.64315,0.44642,0.74549,0.79796,0.38266,0.80974,0.000540037,0.000540037,0.000540037
43,3268.69,0.78541,1.00819,0.41872,0.81998,0.86014,0.554,0.61039,0.4596,0.85976,0.5536,0.61025,0.42236,0.72575,0.75715,0.37213,0.80859,0.000531038,0.000531038,0.000531038
44,3340.04,0.78516,1.02027,0.41748,0.81963,0.87559,0.53764,0.62406,0.46322,0.87519,0.53724,0.62383,0.43114,0.73701,0.76443,0.38509,0.80798,0.000522039,0.000522039,0.000522039
45,3451.97,0.79075,1.0105,0.41674,0.81936,0.89215,0.55324,0.62189,0.46819,0.89169,0.55278,0.62162,0.42567,0.71793,0.77065,0.37139,0.8082,0.00051304,0.00051304,0.00051304
46,3570.57,0.79678,1.03369,0.41948,0.82136,0.88327,0.55805,0.63785,0.47912,0.88305,0.55748,0.63751,0.44175,0.77499,0.80835,0.37991,0.81341,0.00050404,0.00050404,0.00050404
47,3637.26,0.77816,1.00288,0.41291,0.81996,0.83844,0.59853,0.64175,0.48486,0.83807,0.59815,0.64168,0.44742,0.74599,0.78326,0.3713,0.80976,0.000495041,0.000495041,0.000495041
48,3708.32,0.79294,1.01848,0.41729,0.81916,0.8965,0.53871,0.6387,0.4821,0.89595,0.53815,0.63808,0.44986,0.74778,0.77512,0.38694,0.80959,0.000486042,0.000486042,0.000486042
49,3788.09,0.79087,1.03089,0.41829,0.82101,0.88897,0.55844,0.63842,0.48285,0.88851,0.55797,0.63812,0.43953,0.71141,0.76846,0.36267,0.80791,0.000477043,0.000477043,0.000477043
50,3852.55,0.77784,1.00955,0.41116,0.8186,0.88244,0.57861,0.63966,0.48698,0.88209,0.57825,0.63939,0.44727,0.70693,0.75451,0.36524,0.80586,0.000468044,0.000468044,0.000468044
51,3923.34,0.77751,0.99942,0.40844,0.81665,0.88975,0.5421,0.64943,0.48985,0.8896,0.54195,0.64947,0.45326,0.73126,0.74764,0.37107,0.80728,0.000459045,0.000459045,0.000459045
52,3993.63,0.76139,0.987,0.40382,0.81735,0.87438,0.55912,0.64299,0.48313,0.87404,0.55878,0.64277,0.45251,0.71443,0.76057,0.36734,0.80671,0.000450046,0.000450046,0.000450046
53,4064.96,0.76806,0.98815,0.40953,0.81729,0.78343,0.61738,0.63865,0.48547,0.78313,0.61706,0.63875,0.44974,0.72079,0.75208,0.37233,0.80805,0.000441047,0.000441047,0.000441047
54,4133.59,0.77844,1.01207,0.41228,0.81847,0.8934,0.56336,0.66487,0.50467,0.89312,0.56308,0.66477,0.46737,0.70649,0.75704,0.36923,0.80617,0.000432048,0.000432048,0.000432048
55,4270.01,0.77017,0.99398,0.40508,0.81799,0.88604,0.56983,0.66599,0.50376,0.88554,0.56932,0.66611,0.46236,0.69757,0.74262,0.35786,0.80552,0.000423049,0.000423049,0.000423049
56,4385.78,0.74671,0.96467,0.3963,0.81623,0.89572,0.55239,0.66491,0.50864,0.89548,0.55215,0.6655,0.45718,0.71675,0.81848,0.36469,0.80763,0.000414049,0.000414049,0.000414049
57,4464.05,0.7544,0.96996,0.39839,0.81604,0.85307,0.59586,0.65186,0.49929,0.85266,0.59544,0.65177,0.4579,0.70012,0.76837,0.36199,0.80542,0.00040505,0.00040505,0.00040505
58,4537.05,0.76624,0.9864,0.40442,0.81611,0.80841,0.60873,0.6544,0.4989,0.81032,0.60994,0.65541,0.45231,0.70124,0.75167,0.3589,0.80561,0.000396051,0.000396051,0.000396051
59,4602.59,0.76374,1.00324,0.40371,0.81864,0.82734,0.62627,0.67063,0.50669,0.827,0.62592,0.67087,0.47267,0.7114,0.74448,0.35967,0.80632,0.000387052,0.000387052,0.000387052
60,4674.53,0.75606,0.99263,0.3997,0.81701,0.8783,0.56146,0.64144,0.48641,0.87782,0.56097,0.64141,0.45223,0.70886,0.74447,0.363,0.80583,0.000378053,0.000378053,0.000378053
61,4793.01,0.75387,0.9848,0.39824,0.81701,0.88905,0.55167,0.63284,0.48425,0.88882,0.55143,0.63335,0.44801,0.70053,0.73832,0.35679,0.80506,0.000369054,0.000369054,0.000369054
62,4860.64,0.76242,0.9997,0.40218,0.81739,0.78271,0.64663,0.67454,0.51624,0.78234,0.64625,0.67446,0.4773,0.69795,0.73397,0.35557,0.8047,0.000360055,0.000360055,0.000360055
63,4928.17,0.73576,0.9448,0.38937,0.81412,0.80366,0.64516,0.67398,0.51417,0.80207,0.64548,0.67486,0.48489,0.69808,0.73017,0.35175,0.80486,0.000351056,0.000351056,0.000351056
64,5000.34,0.74728,0.97261,0.39362,0.81608,0.83583,0.63477,0.67439,0.51379,0.83501,0.63499,0.67542,0.47312,0.7139,0.74265,0.35705,0.80592,0.000342057,0.000342057,0.000342057
65,5066.04,0.73985,0.95296,0.39103,0.81407,0.857,0.6107,0.67244,0.51402,0.85786,0.61259,0.67402,0.47989,0.71124,0.73803,0.35378,0.80574,0.000333058,0.000333058,0.000333058
66,5261.54,0.74292,0.96736,0.39145,0.81517,0.81466,0.62615,0.66851,0.51101,0.81413,0.62561,0.66807,0.46944,0.71039,0.75184,0.35436,0.80583,0.000324058,0.000324058,0.000324058
67,5327.71,0.74304,0.9605,0.39135,0.81368,0.79485,0.64312,0.67209,0.51532,0.79452,0.64279,0.67207,0.46419,0.69168,0.73641,0.35462,0.80485,0.000315059,0.000315059,0.000315059
68,5399,0.73558,0.94774,0.38917,0.8132,0.81304,0.61664,0.66468,0.51286,0.8126,0.61619,0.66595,0.46837,0.69008,0.73309,0.34992,0.80483,0.00030606,0.00030606,0.00030606
69,5470.78,0.7475,0.98337,0.39497,0.81622,0.72781,0.64807,0.66987,0.51716,0.72743,0.64768,0.66922,0.47336,0.68906,0.73063,0.34705,0.80476,0.000297061,0.000297061,0.000297061
70,5542.77,0.73142,0.94295,0.38525,0.81293,0.84528,0.61931,0.67739,0.51955,0.84307,0.61711,0.67867,0.48659,0.69565,0.72945,0.35307,0.80446,0.000288062,0.000288062,0.000288062
71,5610.14,0.73689,0.9508,0.38636,0.8144,0.85501,0.6122,0.68422,0.52539,0.85458,0.61175,0.68392,0.4762,0.69947,0.73612,0.34693,0.80557,0.000279063,0.000279063,0.000279063
72,5699.7,0.73402,0.95847,0.38534,0.81386,0.8271,0.61149,0.66263,0.51742,0.83354,0.61205,0.664,0.47106,0.69327,0.73303,0.34725,0.80377,0.000270064,0.000270064,0.000270064
73,5810.47,0.73189,0.93503,0.383,0.81385,0.86367,0.63589,0.69268,0.53746,0.86324,0.63545,0.69213,0.49664,0.68853,0.73533,0.34861,0.80435,0.000261065,0.000261065,0.000261065
74,5892.73,0.73374,0.95492,0.38577,0.81413,0.79738,0.62773,0.68582,0.52181,0.79707,0.62742,0.68573,0.48489,0.69057,0.73344,0.34861,0.80426,0.000252066,0.000252066,0.000252066
75,5956.44,0.73828,0.95677,0.38896,0.81427,0.85583,0.63762,0.69177,0.53523,0.85532,0.63711,0.69169,0.4971,0.69882,0.7386,0.34825,0.80497,0.000243067,0.000243067,0.000243067
76,6028.9,0.72426,0.93132,0.38156,0.81214,0.76051,0.66564,0.68341,0.52241,0.76012,0.66524,0.68326,0.48488,0.69626,0.73022,0.34864,0.80447,0.000234068,0.000234068,0.000234068
77,6096.52,0.73598,0.96863,0.38675,0.81454,0.83262,0.65104,0.6861,0.53145,0.83224,0.65066,0.68596,0.49344,0.7022,0.72649,0.34756,0.80528,0.000225068,0.000225068,0.000225068
78,6165.43,0.73002,0.94615,0.38337,0.81325,0.74825,0.67283,0.67732,0.51931,0.74941,0.6751,0.67812,0.48634,0.68599,0.71861,0.34403,0.80365,0.000216069,0.000216069,0.000216069
79,6237.32,0.72835,0.95025,0.38373,0.81352,0.77747,0.67179,0.69239,0.53346,0.77705,0.67137,0.69224,0.49926,0.68891,0.72147,0.34532,0.80359,0.00020707,0.00020707,0.00020707
80,6308.81,0.73615,0.97795,0.38501,0.81506,0.7964,0.64055,0.67721,0.5244,0.79597,0.6401,0.67807,0.48096,0.69421,0.731,0.343,0.8045,0.000198071,0.000198071,0.000198071
81,6378.01,0.72802,0.94933,0.38015,0.81336,0.81741,0.6206,0.67031,0.51911,0.81699,0.62016,0.67016,0.47541,0.68118,0.72012,0.34065,0.80345,0.000189072,0.000189072,0.000189072
82,6450.01,0.7205,0.94249,0.37828,0.8129,0.78042,0.66955,0.68894,0.53183,0.78011,0.66923,0.68984,0.50052,0.68985,0.71962,0.34137,0.80389,0.000180073,0.000180073,0.000180073
83,6546.09,0.72859,0.94056,0.38112,0.81297,0.76006,0.67074,0.69527,0.53685,0.75967,0.67034,0.69586,0.49964,0.68986,0.72244,0.34357,0.80367,0.000171074,0.000171074,0.000171074
84,6613.66,0.72802,0.95098,0.38034,0.81422,0.82521,0.61883,0.67214,0.52348,0.82472,0.61833,0.67261,0.47979,0.68569,0.72138,0.34149,0.80381,0.000162075,0.000162075,0.000162075
